z_nm,pos_with_ramp_mV,pos_no_ramp_mV,neg_with_ramp_mV,neg_no_ramp_mV,membrane_mV,fmp_z_with_ramp
-11.671240000000001,16.772318707945942,-7.114181051676809,-84.29087730905434,-60.40437754943174,-33.759279300554276,1.061927018490421
-11.475085,13.981131688261117,-9.503914895833685,-87.19098067946513,-63.70593409537026,-36.60492449560197,1.0625326102650763
-11.278929999999999,11.331124980575913,-11.752468427990921,-88.49569938264986,-65.41210597408295,-38.582287201036934,1.0550526006555172
-11.082775,8.599631972258107,-14.08250826078079,-88.20788232550167,-65.52574209246279,-39.80412517662179,1.038264769181239
-10.886619999999999,6.248180282980969,-16.03250677452998,-86.77380184730143,-64.4931147897904,-40.262810782160194,1.0172166241778655
-10.690465,5.126099104380928,-16.753134777602096,-84.74283140054645,-62.86359751856337,-39.80836614808273,0.9996851689220458
-10.49431,5.239003556563482,-16.238777149891558,-82.8926125582983,-61.414831851843196,-38.826804500867375,0.9900254319073396
-10.298155,6.593649664643039,-14.482677866284071,-81.98563761714817,-60.9093100862212,-37.69599397625263,0.9925145529129155
-10.102,9.488692878179501,-11.186181477219654,-82.16361320875266,-61.48873885335335,-36.3374601652865,1.0096010132960553
-9.905845,13.244252369172251,-7.02916881069896,-82.62024701601584,-62.3468258361447,-34.68799732342183,1.0330214602508119
-9.70969,16.005374240595316,-3.866593763747932,-82.53168073637632,-62.65971273203308,-33.2631532478905,1.0478812831599158
-9.513535000000001,16.839479264426124,-2.6310355643892143,-82.20158546554492,-62.73107063672954,-32.68105310055938,1.0506836554275172
-9.31738,16.47045504190987,-2.5986066113774995,-82.40407820127815,-63.33501654799072,-32.966811579684105,1.04975771457525
-9.121224999999999,15.097604892038149,-3.570003585721299,-83.40419029913241,-64.736581821373,-34.153292703547145,1.0476852332912336
-8.92507,12.135931966332052,-6.1302233358994105,-84.73679868329684,-66.47064338106553,-36.300433358482465,1.0386273821957381
-8.728915,8.502569986537495,-9.362132140166063,-85.31805554971574,-67.4533534230121,-38.407742781589086,1.0216572051770927
-8.53276,6.209995177141092,-11.253253774034496,-84.64759590096457,-67.18434694978882,-39.21880036191166,1.0051822747932229
-8.336605,5.9415025490177005,-11.120293226629949,-83.69783133614095,-66.63603556049328,-38.87816439356162,0.9984085761653668
-8.140450000000001,7.003529057870004,-9.656813542249678,-83.75021091536456,-67.08986831524481,-38.37334092874725,1.0046048465698245
-7.944294999999999,8.489460695164814,-7.7694287294269335,-85.03593148773278,-68.77704206314108,-38.27323539628401,1.0200156620184715
-7.748140000000001,9.978779719125075,-5.878656529938743,-87.08496550367141,-71.22752925460773,-38.55309289227324,1.0396894527992673
-7.551984999999999,11.431157155492315,-4.024825918043536,-89.50170153204799,-74.04571845851207,-39.03527218827781,1.0612023227571767
-7.35583,12.19916960054487,-2.855360297463028,-91.59256789250247,-76.5380379944945,-39.69669914597877,1.0770981315848915
-7.159675000000002,11.161016411276314,-3.4920603112036726,-92.1228782344319,-77.46980151195181,-40.48093091157775,1.0742744467192444
